mu_dyjets50: 0, 0, 0, 0
mu_dyjets50: 33670, 57880, 806442, 367544
mu_dyjets50: 0, 0, 0, 0
mu_dyjets50: 325093, 665698, 9405032, 2042314
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_ttbar_g: 0, 0, 0, 0, 0
mu_wjets_g: 0, 0, 0, 0, 0
mu_wjets_g: 0, 0, 0, 0, 0
mu_wjets_g: 0, 0, 0, 0, 0
mu_wjets_g: 0, 0, 0, 0, 0
mu_dyjets50_g: 0, 0, 0, 0, 0
mu_dyjets50_g: 0, 0, 0, 0, 0
mu_dyjets50_g: 0, 0, 0, 0, 0
mu_dyjets50_g: 0, 0, 0, 0, 0
mu_dyjets10_g: 0, 0, 0, 0, 0
mu_dyjets10_g: 0, 0, 0, 0, 0
mu_dyjets10_g: 0, 0, 0, 0, 0
mu_dyjets10_g: 0, 0, 0, 0, 0
mu_qcdmuenr_g: 0, 0, 0, 0, 0
mu_qcdmuenr_g: 0, 0, 0, 0, 0
mu_qcdmuenr_g: 0, 0, 0, 0, 0
mu_qcdmuenr_g: 0, 0, 0, 0, 0
el_ttbar_g: 0, 0, 0, 0, 0
el_ttbar_g: 0, 0, 0, 0, 0
el_ttbar_g: 0, 0, 0, 0, 0
el_ttbar_g: 0, 0, 0, 0, 0
el_wjets_g: 0, 0, 0, 0, 0
el_wjets_g: 0, 0, 0, 0, 0
el_wjets_g: 0, 0, 0, 0, 0
el_wjets_g: 0, 0, 0, 0, 0
el_dyjets50_g: 0, 0, 0, 0, 0
el_dyjets50_g: 0, 0, 0, 0, 0
